,Block Name,Point ID,CoordinateX,CoordinateY,CoordinateZ,Magnitude_Velocity_Dataset_V_MAG_N_1_1_0,Magnitude_Vorticity_Dataset_VORTICITY_MAG_N_1_1_0,Points_0,Points_1,Points_2,Points_Magnitude,Result_0,Result_1,Result_2,Result_Magnitude,X_Component_Velocity_Dataset_V_X_N_1_1_0,Y_Component_Velocity_Dataset_V_Y_N_1_1_0,Z_Component_Velocity_Dataset_V_Z_N_1_1_0,Vortex
4478,x_plane_Step_1_Incr_0,2790,3.14159,4.58772,4.68746,0.267686,2.10519,3.14159,4.58772,4.68746,7.27249,9.03178e-08,0.23717,0.0440688,0.241229,9.03178e-08,0.23717,0.0440688,0.0
4479,x_plane_Step_1_Incr_0,2791,3.14159,4.68746,4.58772,0.396029,1.20275,3.14159,4.68746,4.58772,7.27249,9.92388e-08,0.373289,0.055978,0.377463,9.92388e-08,0.373289,0.055978,0.0
4480,x_plane_Step_1_Incr_0,2792,3.14159,4.78719,4.48799,0.496601,0.57011,3.14159,4.78719,4.48799,7.27522,9.04943e-08,0.471894,0.0866534,0.479784,9.04943e-08,0.471894,0.0866534,0.0
4481,x_plane_Step_1_Incr_0,2793,3.14159,4.88692,4.38826,0.579292,0.472239,3.14159,4.88692,4.38826,7.28069,8.8504e-08,0.552404,0.125013,0.566373,8.8504e-08,0.552404,0.125013,0.0
4482,x_plane_Step_1_Incr_0,2794,3.14159,4.98666,4.28852,0.652848,0.563188,3.14159,4.98666,4.28852,7.28888,8.31492e-08,0.623146,0.160953,0.643597,8.31492e-08,0.623146,0.160953,0.0
4483,x_plane_Step_1_Incr_0,2795,3.14159,5.08639,4.18879,0.717374,0.645904,3.14159,5.08639,4.18879,7.29979,7.64689e-08,0.684707,0.193026,0.711395,7.64689e-08,0.684707,0.193026,0.0
4484,x_plane_Step_1_Incr_0,2796,3.14159,5.18612,4.08906,0.76717,0.673597,3.14159,5.18612,4.08906,7.3134,6.82536e-08,0.73166,0.218968,0.763724,6.82536e-08,0.73166,0.218968,0.0
4485,x_plane_Step_1_Incr_0,2797,3.14159,5.28586,3.98932,0.798191,0.665073,3.14159,5.28586,3.98932,7.32971,5.79915e-08,0.76065,0.235949,0.796404,5.79915e-08,0.76065,0.235949,0.0
4486,x_plane_Step_1_Incr_0,2798,3.14159,5.38559,3.88959,0.808683,0.635586,3.14159,5.38559,3.88959,7.34868,4.65164e-08,0.770952,0.241256,0.807819,4.65164e-08,0.770952,0.241256,0.0
4487,x_plane_Step_1_Incr_0,2799,3.14159,5.48532,3.78986,0.796838,0.6265,3.14159,5.48532,3.78986,7.3703,3.28243e-08,0.761461,0.233103,0.796342,3.28243e-08,0.761461,0.233103,0.0
4488,x_plane_Step_1_Incr_0,2800,3.14159,0.997331,4.08906,0.747713,0.551528,3.14159,0.997331,4.08906,5.25211,8.01825e-08,-0.72369,0.169327,0.743235,8.01825e-08,-0.72369,0.169327,0.0
4489,x_plane_Step_1_Incr_0,2801,3.14159,1.09706,4.18879,0.697907,0.491978,3.14159,1.09706,4.18879,5.34968,9.04698e-08,-0.678379,0.129281,0.690588,9.04698e-08,-0.678379,0.129281,0.0
4490,x_plane_Step_1_Incr_0,2802,3.14159,1.1968,4.28852,0.631492,0.439214,3.14159,1.1968,4.28852,5.44916,1.00557e-07,-0.614997,0.0842099,0.620736,1.00557e-07,-0.614997,0.0842099,0.0
4491,x_plane_Step_1_Incr_0,2803,3.14159,3.29119,5.88425,0.27978,0.3167,3.14159,3.29119,5.88425,7.43815,7.40523e-08,-0.222039,-0.145214,0.265308,7.40523e-08,-0.222039,-0.145214,0.0
4492,x_plane_Step_1_Incr_0,2804,3.14159,3.39093,5.78452,0.395221,0.209414,3.14159,3.39093,5.78452,7.40464,7.38591e-08,-0.351997,-0.164359,0.388479,7.38591e-08,-0.351997,-0.164359,0.0
4493,x_plane_Step_1_Incr_0,2805,3.14159,3.49066,5.68479,0.509319,0.210117,3.14159,3.49066,5.68479,7.37368,7.52176e-08,-0.468263,-0.189626,0.505201,7.52176e-08,-0.468263,-0.189626,0.0
4494,x_plane_Step_1_Incr_0,2806,3.14159,3.59039,5.58505,0.601359,0.231174,3.14159,3.59039,5.58505,7.34529,7.71048e-08,-0.565376,-0.196418,0.598523,7.71048e-08,-0.565376,-0.196418,0.0
4495,x_plane_Step_1_Incr_0,2807,3.14159,3.69013,5.48532,0.669521,0.242702,3.14159,3.69013,5.48532,7.31952,7.90581e-08,-0.642131,-0.179049,0.666626,7.90581e-08,-0.642131,-0.179049,1.0
4501,x_plane_Step_1_Incr_0,2808,3.14159,3.78986,5.38559,0.704472,0.27348,3.14159,3.78986,5.38559,7.29638,8.09724e-08,-0.689208,-0.125297,0.700505,8.09724e-08,-0.689208,-0.125297,1.0
4507,x_plane_Step_1_Incr_0,2809,3.14159,3.88959,5.28586,0.696639,0.412645,3.14159,3.88959,5.28586,7.27591,8.27089e-08,-0.689534,-0.0431424,0.690882,8.27089e-08,-0.689534,-0.0431424,1.0
4513,x_plane_Step_1_Incr_0,2810,3.14159,3.98932,5.18612,0.632681,1.07379,3.14159,3.98932,5.18612,7.25811,8.07486e-08,-0.622487,0.0466327,0.624232,8.07486e-08,-0.622487,0.0466327,1.0
4519,x_plane_Step_1_Incr_0,2811,3.14159,4.08906,5.08639,0.5011,2.24738,3.14159,4.08906,5.08639,7.24302,8.54825e-08,-0.476312,0.108914,0.488606,8.54825e-08,-0.476312,0.108914,1.0
4525,x_plane_Step_1_Incr_0,2812,3.14159,4.18879,4.98666,0.32789,3.25133,3.14159,4.18879,4.98666,7.23065,9.55644e-08,-0.260672,0.126453,0.289724,9.55644e-08,-0.260672,0.126453,0.0
4526,x_plane_Step_1_Incr_0,2813,3.14159,4.28852,4.88692,0.242378,3.24412,3.14159,4.28852,4.88692,7.22101,1.1257e-07,-0.0251214,0.108214,0.111092,1.1257e-07,-0.0251214,0.108214,0.0
4527,x_plane_Step_1_Incr_0,2814,3.14159,4.38826,4.78719,0.242562,2.26123,3.14159,4.38826,4.78719,7.21412,1.18968e-07,0.172672,0.0928667,0.196061,1.18968e-07,0.172672,0.0928667,0.0
4528,x_plane_Step_1_Incr_0,2815,3.14159,4.48799,4.68746,0.349343,1.24281,3.14159,4.48799,4.68746,7.20999,1.1748e-07,0.31431,0.103939,0.33105,1.1748e-07,0.31431,0.103939,0.0
4529,x_plane_Step_1_Incr_0,2816,3.14159,4.58772,4.58772,0.451106,0.583338,3.14159,4.58772,4.58772,7.20861,1.00522e-07,0.41168,0.136326,0.433664,1.00522e-07,0.41168,0.136326,0.0
4530,x_plane_Step_1_Incr_0,2817,3.14159,4.68746,4.48799,0.537339,0.469993,3.14159,4.68746,4.48799,7.20999,9.4524e-08,0.492158,0.177315,0.523126,9.4524e-08,0.492158,0.177315,0.0
